sub,title_kr,title_en,desc_kr,desc_en,addr_kr,addr_en,hours_kr,tips_kr,tips_en,naver_map,kakao_map,web,publish_at
legal-info,반려동물 동반 입국 규정,Pet Entry Requirements,반려동물과 함께 입국하는 여행자 필수 가이드,Essential guide for travelers entering Korea with pets,인천국제공항 동물검역 카운터 (1층 입국장),Incheon Int'l Airport Animal Quarantine Counter (1F),24시간 상시 운영 (항공기 도착 시간에 맞춰 대기),"▪ 입국 최소 180일 전 마이크로칩 삽입 및 광견병 항체 검사 완료 필수
▪ 농림축산검역본부 공식 홈페이지에서 최신 정보 확인
▪ 검역 서류 미비 시 격리 조치될 수 있음","▪ Microchip & rabies test required min. 180 days before entry
▪ Check QIA website for latest regulations
▪ Incomplete documents may result in quarantine isolation",https://map.naver.com/v5/search/인천국제공항,https://map.kakao.com/link/search/인천국제공항,https://www.qia.go.kr,
legal-info,K-ETA 신청 및 필수 여부,K-ETA Application Guide,무비자 입국을 위한 필수 전자 여행 허가,Mandatory electronic travel authorization for visa-free entry,온라인 신청 (오프라인 창구 없음),Online application only (no offline counter),24시간 온라인 신청 가능,"▪ 항공기 탑승 최소 72시간 전 신청 필수
▪ 공식 웹사이트 외 비공식 대행사 수수료 사기 주의
▪ 비자면제협정 체결국은 면제 대상일 수 있음 (사전 확인)","▪ Apply at least 72hrs before boarding
▪ Beware unofficial agency fee scams — use only official site
▪ Some visa-waiver countries may be exempt — check in advance",,,https://www.k-eta.go.kr,
legal-info,반입 금지 물품 리스트,Prohibited Items List,한국 입국 시 반입 금지 물품 완전 목록,Complete list of items prohibited from entry into Korea,관세청 공식 웹사이트 및 인천공항 세관 신고 데스크,Korea Customs Service & Incheon Airport Customs Desk,24시간 상시 운영,"▪ 고위험 물품: 신선 과일, 육류, 흙 묻은 식물 — 즉시 압수
▪ 관세청 공식 웹사이트에서 최신 금지 물품 목록 확인
▪ 처방약은 의사 소견서 지참 권장","▪ High-risk: fresh fruits, meats, soil-attached plants — instant confiscation
▪ Check Customs website for updated list
▪ Carry doctor's note for prescription medications",https://map.naver.com/v5/search/인천공항+세관,https://map.kakao.com/link/search/인천공항+세관,https://www.customs.go.kr,
essential-apps,미세먼지 수치 확인 앱,Air Quality Monitoring Apps,야외 활동 계획을 위한 실시간 한국 공기질 모니터링,Real-time air quality monitoring for outdoor planning,온라인 앱 (위치 무관),Online app (location independent),24시간 실시간 업데이트,"▪ 3–5월: 황사 집중 시즌 — KF94 마스크 상시 휴대 필수
▪ 트위터/X #미세먼지오늘 최신순 검색으로 실시간 공기질 확인
▪ 어린이·노약자는 PM2.5 50 이상 시 외출 자제 권장","▪ March–May: peak yellow dust season — carry KF94 mask
▪ Search #미세먼지오늘 on X for real-time updates
▪ Children/elderly should avoid outdoor activity above PM2.5 50",,,https://www.airkorea.or.kr,
mobile-number-wifi,와이파이 vs eSIM 비교,Pocket Wi-Fi vs eSIM Comparison,포켓 와이파이 vs eSIM 완전 비교,Complete comparison: Portable Wi-Fi vs eSIM,포켓 와이파이 수령: 인천공항 1층 입국장 KT·SKT 카운터,Pickup: Incheon Airport 1F Arrival Hall KT/SKT counters,공항 카운터 24시간 운영,"▪ eSIM 호환 기기는 솔로 여행자에게 추천 — 즉시 개통, 별도 기기 불필요
▪ 여러 명이 함께 다니면 포켓 와이파이가 비용 효율적
▪ 인스타그램 #한국eSIM후기 최신순 검색으로 최신 리뷰 확인","▪ eSIM recommended for solo travelers — instant activation
▪ Pocket Wi-Fi more cost-effective for groups
▪ Search #한국eSIM후기 on Instagram for latest reviews",https://map.naver.com/v5/search/인천공항+KT로밍,https://map.kakao.com/link/search/인천공항+KT로밍,https://roaming.kt.com,
hotspot,서울 무장애 여행지,Seoul Barrier-Free Travel Spots,휠체어·유모차 이용자를 위한 서울 접근성 가이드,Seoul accessibility guide for wheelchair/stroller users,서울 시내 주요 무장애 인증 명소 (장소별 상이),Major accessibility-certified spots in Seoul (varies by location),장소별 운영시간 상이,"▪ 경복궁·DDP·서울로7017은 휠체어 무료 대여 서비스 운영
▪ 지하철 역무원에게 미리 연락하면 엘리베이터 동선 안내 가능
▪ 서울관광재단 무장애 여행 코스 PDF 다운로드 추천","▪ Gyeongbokgung·DDP·Seoullo7017 offer free wheelchair rental
▪ Pre-contact station staff for elevator route guidance
▪ Download Seoul Tourism's barrier-free course PDF",https://map.naver.com/v5/search/서울+무장애여행,https://map.kakao.com/link/search/서울+무장애여행,https://english.visitseoul.net,
hotspot,임산부 한국 여행 팁,Pregnancy Travel Tips for Korea,임산부를 위한 안전한 한국 여행 가이드,Safe Korea travel guide for pregnant travelers,전국 보건소 및 지하철역 (배지 수령처),Health centers & subway stations nationwide (badge pickup),보건소 평일 09:00–18:00 (배지 수령),"▪ 임산부 배지 착용 시 대중교통 배려석 우선 이용 가능
▪ 외국인 의료상담센터 1339 (영어 지원) 활용 권장
▪ 장거리 비행 전 산부인과 상담 필수","▪ Badge enables priority access to public transit seating
▪ Use foreign medical helpline 1339 (English support)
▪ Consult OB-GYN before long-haul flights",,,https://www.e-gen.or.kr,
restaurant,비건 여행 가이드,Vegan Travel Guide,한국 비건 식당 찾기 완전 가이드,Complete guide to finding vegan restaurants in Korea,전국 비건 식당 (앱 기반 검색),Vegan restaurants nationwide (app-based search),식당별 상이 (대부분 11:00–21:00),"▪ 사찰음식 체험관에서 정통 한국 비건 요리 체험 가능
▪ 편의점 비건 인증 표시(V) 제품 증가 추세
▪ 인스타그램 #한국비건맛집 최신순 검색 추천","▪ Temple food center offers authentic Korean vegan cuisine
▪ Convenience stores increasingly stock vegan-certified (V) products
▪ Search #한국비건맛집 on Instagram for latest spots",https://map.naver.com/v5/search/비건식당,https://map.kakao.com/link/search/비건식당,https://www.happycow.net,
hotspot,가족 여행 추천 코스,Family-Friendly Travel Course,아이 동반 가족을 위한 서울 핵심 코스,Core Seoul course for families with children,코스별 상이 (서울 시내 다수 지점),Varies by course stop (multiple Seoul locations),명소별 운영시간 상이 (대부분 09:00–18:00),"▪ 고궁 한복 체험은 만 7세 이하 무료인 곳 많음
▪ 대형 백화점 키즈카페·놀이방 무료 이용 가능
▪ 지하철 유모차 엘리베이터 위치는 역사 안내도 확인","▪ Many palaces offer free hanbok for kids under 7
▪ Department store kids cafes/play areas often free
▪ Check station map for stroller elevator locations",https://map.naver.com/v5/search/서울+가족여행,https://map.kakao.com/link/search/서울+가족여행,,
essential-apps,편의점 활용 여행 팁,Convenience Store Travel Hacks,한국 편의점 200% 활용하는 여행자 꿀팁,Maximizing Korean convenience stores as a traveler,전국 어디서나 도보 5분 내 편의점 존재,Convenience stores within 5min walk almost anywhere,대부분 24시간 연중무휴,"▪ 전자레인지·온수기 무료 비치 — 즉석조리식품 데워먹기 가능
▪ 일부 매장 해외카드 ATM 출금 수수료 저렴
▪ 도시락 유통기한 임박 할인(반값) 저녁 시간대 노려볼 것","▪ Free microwave/hot water for instant meals
▪ Some stores offer low-fee foreign card ATM withdrawal
▪ Evening discounts (50% off) on near-expiry lunch boxes",https://map.naver.com/v5/search/편의점,https://map.kakao.com/link/search/편의점,,
