sub,region,title_kr,title_en,desc_kr,desc_en,addr_kr,addr_en,route_kr,duration,difficulty,budget_kr,naver_map,kakao_map,web,free,publish_at
3hour,서울 종로,경복궁 역사 탐방,Gyeongbokgung Palace History Tour,"조선시대 정궁 경복궁
▪ 광화문 → 근정전 → 경회루 → 향원정
▪ 수문장 교대식 (매일 10:00 / 14:00)
▪ 한복 착용 시 무료 입장","Joseon Royal Palace Gyeongbokgung
▪ Gwanghwamun → Geunjeongjeon → Gyeonghoeru → Hyangwonjeong
▪ Royal Guard Ceremony daily 10:00 / 14:00
▪ Free entry in hanbok",사직로 161,"161 Sajik-ro, Jongno-gu, Seoul",3호선 경복궁역 5번 출구 → 도보 5분 → 광화문(정문),2시간,easy,"성인 3,000원",https://map.naver.com/v5/search/경복궁,https://map.kakao.com/link/search/경복궁,https://royal.khs.go.kr/ROYAL/contents/menuInfo-gbg.do?grpCode=gbg,TRUE,
3hour,서울 영등포,한강 선셋 산책 코스,Han River Sunset Walk,"여의도 한강공원 황금빛 노을 산책
▪ 자전거 도로 → 서울 스카이라인 조망
▪ 따릉이 대여 가능 (시간당 1,000원)
▪ 피크닉 매트·돗자리 지참 권장","Yeouido Hangang Park golden hour walk
▪ Bike path → Seoul skyline view
▪ Ddareungi bike rental available (1,000 KRW/hr)
▪ Picnic mat recommended",여의동로 330,"330 Yeouidong-ro, Yeongdeungpo-gu, Seoul",5·9호선 여의도역 3번 출구 → 도보 7분 → 한강공원 입구,1.5시간,easy,무료,https://map.naver.com/v5/search/여의도+한강공원,https://map.kakao.com/link/search/여의도+한강공원,https://hangang.seoul.go.kr,TRUE,
3hour,서울 마포,홍대 거리예술 투어,Hongdae Street Art Tour,"홍대 골목 벽화·스트리트 아트 탐방
▪ 홍대 정문거리 → 피카소 거리 → 연남동 방향
▪ 주말 오후 버스킹 공연 다수
▪ 독립 갤러리·팝업 스토어 연계","Hongdae alley mural & street art exploration
▪ Main gate → Picasso Street → Yeonnam direction
▪ Weekend afternoon busking
▪ Independent galleries & pop-up stores nearby",어울마당로 65,"65 Eoulmadag-ro, Mapo-gu, Seoul",2호선·공항철도·경의중앙선 홍대입구역 9번 출구 → 도보 5분 → 홍대 정문거리,2시간,easy,무료,https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD,https://map.kakao.com/?q=%ED%99%8D%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD+%EA%B3%B5%ED%95%AD%EC%B2%A0%EB%8F%84,해당없음,TRUE,
3hour,부산 해운대,해운대 해변 일출 명상,Haeundae Beach Sunrise Meditation,"해운대 백사장 새벽 요가·명상
▪ 일출 시각 30분 전 도착 권장
▪ 파도 소리 배경 힐링 타임
▪ 인근 해운대시장 아침 식사 연계","Haeundae Beach dawn yoga & meditation
▪ Arrive 30min before sunrise
▪ Healing time with wave sounds
▪ Haeundae Market breakfast nearby",해운대해변로 264,"264 Haeundaehaebyeon-ro, Haeundae-gu, Busan",지하철 2호선 해운대역 3·5번 출구 → 도보 10분 → 해운대해수욕장,1시간,easy,무료,https://map.naver.com/v5/search/해운대해수욕장,https://map.kakao.com/link/search/해운대해수욕장,https://www.visitbusan.net,TRUE,
recommend,제주 서귀포,올레길 7코스 트레킹,Jeju Olle Trail Course 7,"올레길 7코스 외돌개 → 월평마을 (15.6km)
▪ 기암절벽 해안 → 서귀포 오름 조망
▪ 소요시간 약 4~5시간
▪ 패스포트 스탬프 수령 가능","Olle Trail Course 7: Oedolgae → Wolpyeong Village (15.6km)
▪ Coastal cliffs → Seogwipo oreum views
▪ Approx. 4–5 hours
▪ Olle passport stamp available",올레7코스 시작점 외돌개,"Oedolgae Rock, Seogwipo-si, Jeju",서귀포버스터미널 → 서귀포시 농어촌버스 → 외돌개 정류장,4시간,medium,무료,https://map.naver.com/v5/search/외돌개+제주,https://map.kakao.com/link/search/외돌개+제주,https://www.jejuolle.org,TRUE,
recommend,경주 불국사,신라 천년 문화유산 탐방,Millennium Silla Heritage Tour,"불국사 + 석굴암 연계 코스
▪ 불국사 → 셔틀버스 → 석굴암 (편도 10분)
▪ 유네스코 세계문화유산 2개소
▪ 불국사 입장료: 성인 6,000원","Bulguksa Temple + Seokguram Grotto combo
▪ Bulguksa → shuttle bus → Seokguram (10min)
▪ 2 UNESCO World Heritage Sites
▪ Bulguksa admission: 6,000 KRW",불국로 385,"385 Bulguk-ro, Gyeongju-si, Gyeongsangbuk-do",KTX 신경주역 → 700번 버스 → 불국사 정류장 (약 40분),3시간,easy,"입장료 6,000원",https://map.naver.com/v5/search/불국사,https://map.kakao.com/link/search/불국사,https://www.bulguksa.or.kr,TRUE,
3hour,강릉 강문,커피 로스터리 탐방,Coffee Roastery Tour,"강릉 안목 커피거리 로스터리 카페 탐방
▪ 강릉 커피거리 (안목해변) → 테라로사 강릉본점
▪ 핸드드립·에스프레소 비교 시음
▪ 안목해변 오션뷰 카페 다수","Gangneung Anmok Coffee Street roastery tour
▪ Anmok Beach coffee street → Terarosa Gangneung
▪ Hand-drip & espresso tasting comparison
▪ Ocean view cafes along Anmok Beach",창해로 307 (안목해변),"307 Changhae-ro, Gangneung-si, Gangwon-do",KTX 강릉역 → 시내버스 202번 → 안목해변 정류장 (약 15분),2.5시간,easy,"음료 1잔 7,000원~",https://map.naver.com/v5/search/강릉+안목+커피거리,https://map.kakao.com/link/search/강릉+안목+커피거리,https://www.gn.go.kr/tour,TRUE,
3hour,전주 한옥마을,한복 입고 한옥마을 산책,Hanbok Walk in Hanok Village,"전주 한옥마을 한복 대여 후 골목 탐방
▪ 한복 대여 → 경기전 → 전동성당 → 풍남문
▪ 한복 착용 시 경기전 무료 입장
▪ 비빔밥·전주 길거리 음식 연계","Jeonju Hanok Village hanbok rental & alley walk
▪ Hanbok rental → Gyeonggijeon → Jeondong Cathedral → Pungnammun
▪ Free entry to Gyeonggijeon in hanbok
▪ Bibimbap & street food nearby",기린대로 99,"99 Girin-daero, Wansan-gu, Jeonju-si, Jeonbuk-do",KTX 전주역 → 79번·119번 버스 → 한옥마을 정류장 (약 20분),2시간,easy,"한복 대여 10,000~15,000원",https://map.naver.com/v5/search/전주한옥마을,https://map.kakao.com/link/search/전주한옥마을,https://hanok.jeonju.go.kr,TRUE,
3hour,인천 차이나타운,차이나타운 먹거리 투어,Chinatown Food Tour,"인천 차이나타운 미식 탐방
▪ 패루(정문) → 짜장면 박물관 → 공화춘
▪ 짜장면 발상지 · 1883년 개항지
▪ 월미도·개항장 연계 가능","Incheon Chinatown gourmet walk
▪ Pairu gate → Jjajangmyeon Museum → Gonghwachun
▪ Birthplace of jjajangmyeon · 1883 open port
▪ Wolmido & open port area nearby",차이나타운로 26,"26 Chainataun-ro, Jung-gu, Incheon",1호선 인천역 1번 출구 → 도보 3분 → 차이나타운 패루(정문),2시간,easy,"식비 10,000~20,000원",https://map.naver.com/v5/search/인천+차이나타운,https://map.kakao.com/link/search/인천+차이나타운,https://www.icjg.go.kr/tour,TRUE,
3hour,대구 동성로,야시장 먹거리 탐방,Night Market Food Exploration,"대구 동성로 야시장 길거리 음식 탐방
▪ 동성로 메인 거리 → 서문시장 야시장
▪ 떡볶이·납작만두·대구 스타일 막창
▪ 서문시장 야시장 매주 금·토·일 운영","Daegu Dongseongno night market street food tour
▪ Dongseongno main street → Seomun Market Night Market
▪ Tteokbokki · flat mandu · Daegu-style makchang
▪ Seomun Market Night Market: Fri/Sat/Sun only",큰장로26길 45 (서문시장),"Seomun Market, Daegu Jung-gu",지하철 3호선 서문시장역 1번 출구 → 도보 3분 → 서문시장 야시장,1.5시간,easy,"식비 10,000~20,000원",https://map.naver.com/v5/search/대구+서문시장+야시장,https://map.kakao.com/link/search/대구+서문시장+야시장,https://www.daegu.go.kr/tour,TRUE,
